Unit Cell Height,Base Length ,Side Length,Structure Height,Structure Length,Material,Young's Modulus,Density,Poisson's Ratio,Boundary Conditions,Frequency #,Hexagonal Eigenfrequency (Hz),Auxetic Eigenfrequency 
13.00,16.00,8.50,72,162.80,CF_High,"7,00E+11",1800,0.4,NNF,4,4005.4628371990552,8529.729456222427
13.00,16.00,8.50,72,162.80,CF_High,"7,00E+11",1800,0.4,NNF,5,5503.754324723637,9191.856330440785
13.00,16.00,8.50,72,162.80,CF_High,"7,00E+11",1800,0.4,NNF,6,6189.230111424418,10680.861630401005
13.00,16.00,8.50,72,162.80,CF_High,"7,00E+11",1800,0.4,NNF,7,7579.175261552109,11890.440379991496
13.00,16.00,8.50,72,162.80,CF_High,"7,00E+11",1800,0.4,NNF,8,7740.09491663634,12052.297917792386
13.00,16.00,8.50,72,162.80,CF_High,"7,00E+11",1800,0.4,NNF,9,9127.434392193063,13169.764745778444
13.00,16.00,8.50,72,162.80,CF_High,"7,00E+11",1800,0.4,NNF,10,10119.179602585398,14519.579309726932
13.00,16.00,8.50,72,162.80,CF_High,"7,00E+11",1800,0.4,NNN,1,1622.5511833074088,2299.008401607442
13.00,16.00,8.50,72,162.80,CF_High,"7,00E+11",1800,0.4,NNN,2,3547.973299524087,5419.274965480222
13.00,16.00,8.50,72,162.80,CF_High,"7,00E+11",1800,0.4,NNN,3,5757.300435736632,5983.409517398794
13.00,16.00,8.50,72,162.80,CF_High,"7,00E+11",1800,0.4,NNN,4,5924.755964904888,6409.896799590357
13.00,16.00,8.50,72,162.80,CF_High,"7,00E+11",1800,0.4,NNN,5,6504.877597571235,9253.750450535486
13.00,16.00,8.50,72,162.80,CF_High,"7,00E+11",1800,0.4,NNN,6,6606.468159948738,9496.81747554672
13.00,16.00,8.50,72,162.80,CF_High,"7,00E+11",1800,0.4,NNN,7,7868.508223003862,10565.492623816512
13.00,16.00,8.50,72,162.80,CF_High,"7,00E+11",1800,0.4,NNN,8,8759.31444139103,11381.92211541896
13.00,16.00,8.50,72,162.80,CF_High,"7,00E+11",1800,0.4,NNN,9,10130.346464718777,11623.760127059728
13.00,16.00,8.50,72,162.80,CF_High,"7,00E+11",1800,0.4,NNN,10,10640.573853380687,13744.443056475677
13.00,16.00,8.50,72,162.80,CF_Low,"2,30E+11",1800,0.2,FNF,1,734.274273093612,3877.7870990796264
13.00,16.00,8.50,72,162.80,CF_Low,"2,30E+11",1800,0.2,FNF,2,2635.1854752565814,8482.390335281381
13.00,16.00,8.50,72,162.80,CF_Low,"2,30E+11",1800,0.2,FNF,3,3344.429600161567,8572.13813346305
13.00,16.00,8.50,72,162.80,CF_Low,"2,30E+11",1800,0.2,FNF,4,3920.982591770198,8946.587162726777
13.00,16.00,8.50,72,162.80,CF_Low,"2,30E+11",1800,0.2,FNF,5,4321.338110223301,10229.454211933486
13.00,16.00,8.50,72,162.80,CF_Low,"2,30E+11",1800,0.2,FNF,6,4372.990657278381,11119.195594886403
13.00,16.00,8.50,72,162.80,CF_Low,"2,30E+11",1800,0.2,FNF,7,4941.66721547673,12279.334836703434
